ITEM No.,DV NUMBER,SERIAL NUMBER,IN-HOUSE SERIAL NUMBER,Unnamed: 4,Unnamed: 5,REMARKS,DATE OF ISSUANCE,QR CODE LINK
5028,5028R,A2B3C-4D5E6-F7G8H-87CDC,0D67A-3EECA-ECAC7,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_0D67A-3EECA-ECAC7.png
5029,5029R,A2B3C-4D5E6-F7G8H-8D4C0,DDFF2-DC858-DF9FB,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_DDFF2-DC858-DF9FB.png
5030,5030R,A2B3C-4D5E6-F7G8H-92CA4,884CE-5EF04-9977F,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_884CE-5EF04-9977F.png
5031,5031R,A2B3C-4D5E6-F7G8H-98488,C0C44-45DAA-B13C4,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_C0C44-45DAA-B13C4.png
5032,5032R,A2B3C-4D5E6-F7G8H-9DC6C,A5D2D-75EE0-20D0B,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_A5D2D-75EE0-20D0B.png
5033,5033R,A2B3C-4D5E6-F7G8H-A3450,51BAD-7BFFC-AFDA9,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_51BAD-7BFFC-AFDA9.png
5034,5034R,A2B3C-4D5E6-F7G8H-A8C34,EEFDF-F6F42-4F32D,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_EEFDF-F6F42-4F32D.png
5035,5035R,A2B3C-4D5E6-F7G8H-AE418,CD8EB-C0C8D-5BE49,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_CD8EB-C0C8D-5BE49.png
5036,5036R,A2B3C-4D5E6-F7G8H-B3BFC,7C337-5E3D9-21A68,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_7C337-5E3D9-21A68.png
5037,5037R,A2B3C-4D5E6-F7G8H-B93E0,1CADD-E58EA-DCBEE,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_1CADD-E58EA-DCBEE.png
5038,5038R,A2B3C-4D5E6-F7G8H-BEBC4,E52E5-E6738-D378A,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_E52E5-E6738-D378A.png
5039,5039R,A2B3C-4D5E6-F7G8H-C43A8,DBBCF-1BFAE-CDC5D,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_DBBCF-1BFAE-CDC5D.png
5040,5040R,A2B3C-4D5E6-F7G8H-C9B8C,09DBF-E283D-9FF8A,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_09DBF-E283D-9FF8A.png
5041,5041R,A2B3C-4D5E6-F7G8H-CF370,7FA9C-EAEF4-73E52,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_7FA9C-EAEF4-73E52.png
5042,5042R,A2B3C-4D5E6-F7G8H-D4B54,CCABD-FDBDF-FDFCB,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_CCABD-FDBDF-FDFCB.png
5043,5043R,A2B3C-4D5E6-F7G8H-DA338,C44BA-1AD8E-9A020,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_C44BA-1AD8E-9A020.png
5044,5044R,A2B3C-4D5E6-F7G8H-DFB1C,3AB67-33BF7-7EF4D,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_3AB67-33BF7-7EF4D.png
5045,5045R,A2B3C-4D5E6-F7G8H-E5300,5E4F4-6CCEC-19F4B,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_5E4F4-6CCEC-19F4B.png
5046,5046R,A2B3C-4D5E6-F7G8H-EAAE4,701C2-A80CE-A17D5,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_701C2-A80CE-A17D5.png
5047,5047R,A2B3C-4D5E6-F7G8H-F02C8,DCE0E-9FBED-003E9,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_DCE0E-9FBED-003E9.png
5048,5048R,A2B3C-4D5E6-F7G8H-F5AAC,9FB4E-9E05A-CB096,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_9FB4E-9E05A-CB096.png
5049,5049R,A2B3C-4D5E6-F7G8H-FB290,FB47D-ECFC9-E858F,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_FB47D-ECFC9-E858F.png
5050,5050R,A2B3C-4D5E6-F7G8H-00A74,69C21-54AEF-B4E5B,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_69C21-54AEF-B4E5B.png
  ,5051R,A2B3C-4D5E6-F7G8H-06258,C915E-FA2FB-6EFEC,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_C915E-FA2FB-6EFEC.png
5052,5052R,A2B3C-4D5E6-F7G8H-0BA3C,9CBDD-F1CED-65ACD,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_9CBDD-F1CED-65ACD.png
5053,5053R,A2B3C-4D5E6-F7G8H-11220,0FFED-D1E90-F1D75,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_0FFED-D1E90-F1D75.png
5054,5054R,A2B3C-4D5E6-F7G8H-16A04,640C5-BDBD9-8A7DF,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_640C5-BDBD9-8A7DF.png
5055,5055R,A2B3C-4D5E6-F7G8H-1C1E8,B30F2-CB0CD-7BBD5,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_B30F2-CB0CD-7BBD5.png
5056,5056R,A2B3C-4D5E6-F7G8H-219CC,CC09F-894DB-882C8,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_CC09F-894DB-882C8.png
5057,5057R,A2B3C-4D5E6-F7G8H-271B0,E4621-39AC5-B2CBE,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_E4621-39AC5-B2CBE.png
5058,5058R,A2B3C-4D5E6-F7G8H-2C994,6F98F-BBADE-EBC00,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_6F98F-BBADE-EBC00.png
5059,5059R,A2B3C-4D5E6-F7G8H-32178,FEA28-ACBEF-BA208,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_FEA28-ACBEF-BA208.png
5060,5060R,A2B3C-4D5E6-F7G8H-3795C,9877F-5F30C-EAF63,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_9877F-5F30C-EAF63.png
5061,5061R,A2B3C-4D5E6-F7G8H-3D140,F48CC-162A3-4521A,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_F48CC-162A3-4521A.png
5062,5062R,A2B3C-4D5E6-F7G8H-42924,B21F2-DB27B-37B02,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_B21F2-DB27B-37B02.png
5063,5063R,A2B3C-4D5E6-F7G8H-48108,44F23-AC814-3821C,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_44F23-AC814-3821C.png
5064,5064R,A2B3C-4D5E6-F7G8H-4D8EC,1853C-555EA-CDAFE,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_1853C-555EA-CDAFE.png
5065,5065R,A2B3C-4D5E6-F7G8H-530D0,94D5B-7E3B3-6DF69,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_94D5B-7E3B3-6DF69.png
5066,5066R,A2B3C-4D5E6-F7G8H-588B4,5F9B8-A39F1-454AC,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_5F9B8-A39F1-454AC.png
5067,5067R,A2B3C-4D5E6-F7G8H-5E098,55FCF-F44DC-B6D1A,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_55FCF-F44DC-B6D1A.png
5068,5068R,A2B3C-4D5E6-F7G8H-6387C,FDAA8-CEA2C-3F6A3,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_FDAA8-CEA2C-3F6A3.png
5069,5069R,A2B3C-4D5E6-F7G8H-69060,FEB0D-DCEA4-1E6FB,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_FEB0D-DCEA4-1E6FB.png
5070,5070R,A2B3C-4D5E6-F7G8H-6E844,FD562-C72AE-9BBDD,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_FD562-C72AE-9BBDD.png
5071,5071R,A2B3C-4D5E6-F7G8H-74028,CF41F-C8CEF-6BB3C,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_CF41F-C8CEF-6BB3C.png
5072,5072R,A2B3C-4D5E6-F7G8H-7980C,70BE4-84444-CE78F,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_70BE4-84444-CE78F.png
5073,5073R,A2B3C-4D5E6-F7G8H-7EFF0,3DAC4-F4ABD-FFCBE,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_3DAC4-F4ABD-FFCBE.png
5074,5074R,A2B3C-4D5E6-F7G8H-847D4,27EDD-ADFDC-CCB11,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_27EDD-ADFDC-CCB11.png
5075,5075R,A2B3C-4D5E6-F7G8H-89FB8,D32C7-1F7D1-FC7A5,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_D32C7-1F7D1-FC7A5.png
5076,5076R,A2B3C-4D5E6-F7G8H-8F79C,E5EED-BED2C-CC29F,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_E5EED-BED2C-CC29F.png
5077,5077R,A2B3C-4D5E6-F7G8H-94F80,ECC39-AE44D-E4724,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_ECC39-AE44D-E4724.png
5078,5078R,A2B3C-4D5E6-F7G8H-9A764,D846B-D37E2-4ACA2,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_D846B-D37E2-4ACA2.png
5079,5079R,A2B3C-4D5E6-F7G8H-9FF48,79DDE-D0B0E-26BDA,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_79DDE-D0B0E-26BDA.png
5080,5080R,A2B3C-4D5E6-F7G8H-A572C,1BED5-A68A9-41173,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_1BED5-A68A9-41173.png
5081,5081R,A2B3C-4D5E6-F7G8H-AAF10,D248F-DCE1A-D571F,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_D248F-DCE1A-D571F.png
5082,5082R,A2B3C-4D5E6-F7G8H-B06F4,A2F38-CFDCC-FEF02,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_A2F38-CFDCC-FEF02.png
5083,5083R,A2B3C-4D5E6-F7G8H-B5ED8,EBD6F-457A0-DAC8E,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_EBD6F-457A0-DAC8E.png
5084,5084R,A2B3C-4D5E6-F7G8H-BB6BC,D2B4A-EB7DA-057C3,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_D2B4A-EB7DA-057C3.png
5085,5085R,A2B3C-4D5E6-F7G8H-C0EA0,3B45A-2BD8B-17BF1,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_3B45A-2BD8B-17BF1.png
5086,5086R,A2B3C-4D5E6-F7G8H-C6684,ACA80-F5BEA-DB40D,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_ACA80-F5BEA-DB40D.png
5087,5087R,A2B3C-4D5E6-F7G8H-CBE68,EBAD1-A7CE5-6FBA9,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_EBAD1-A7CE5-6FBA9.png
5088,5088R,A2B3C-4D5E6-F7G8H-D164C,0FDA7-F089F-6AD2C,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_0FDA7-F089F-6AD2C.png
5089,5089R,A2B3C-4D5E6-F7G8H-D6E30,1DA12-AFD8F-FEF6D,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_1DA12-AFD8F-FEF6D.png
5090,5090R,A2B3C-4D5E6-F7G8H-DC614,74712-CCCC3-38FEF,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_74712-CCCC3-38FEF.png
5091,5091R,A2B3C-4D5E6-F7G8H-E1DF8,3A604-F4AE8-0CF1F,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_3A604-F4AE8-0CF1F.png
5092,5092R,A2B3C-4D5E6-F7G8H-E75DC,AABF6-ADDDE-98144,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_AABF6-ADDDE-98144.png
5093,5093R,A2B3C-4D5E6-F7G8H-ECDC0,B88D0-D2866-5913F,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_B88D0-D2866-5913F.png
5094,5094R,A2B3C-4D5E6-F7G8H-F25A4,3562E-DF0AB-EB7AB,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_3562E-DF0AB-EB7AB.png
5095,5095R,A2B3C-4D5E6-F7G8H-F7D88,587B4-F036B-EE7A0,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_587B4-F036B-EE7A0.png
5096,5096R,A2B3C-4D5E6-F7G8H-FD56C,ADBD9-24FEB-ACBBB,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_ADBD9-24FEB-ACBBB.png
5097,5097R,A2B3C-4D5E6-F7G8H-02D50,AEAFA-DAAB6-23F20,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_AEAFA-DAAB6-23F20.png
5098,5098R,A2B3C-4D5E6-F7G8H-08534,54BF1-4BDAC-33ECE,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_54BF1-4BDAC-33ECE.png
5099,5099R,A2B3C-4D5E6-F7G8H-0DD18,FFCD6-06CAE-9BDDF,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_FFCD6-06CAE-9BDDF.png
5100,5100R,A2B3C-4D5E6-F7G8H-134FC,EDDC7-65E43-B1DC8,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_EDDC7-65E43-B1DC8.png
5101,5101R,I9J1K-2L3M4-N5O6P-18CE0,CFDE7-7086D-A2181,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_CFDE7-7086D-A2181.png
5102,5102R,I9J1K-2L3M4-N5O6P-1E4C4,98C6E-EBBF5-9EC16,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_98C6E-EBBF5-9EC16.png
5103,5103R,I9J1K-2L3M4-N5O6P-23CA8,FF9AB-A903A-CF0D0,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_FF9AB-A903A-CF0D0.png
5104,5104R,I9J1K-2L3M4-N5O6P-2948C,2EC23-E3C79-57A8C,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_2EC23-E3C79-57A8C.png
5105,5105R,I9J1K-2L3M4-N5O6P-2EC70,5FE22-BBCD2-4EFE6,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_5FE22-BBCD2-4EFE6.png
5106,5106R,I9J1K-2L3M4-N5O6P-34454,3D5BB-4ACBA-9CEF7,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_3D5BB-4ACBA-9CEF7.png
5107,5107R,I9J1K-2L3M4-N5O6P-39C38,A1BC9-A014E-61DBD,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_A1BC9-A014E-61DBD.png
5108,5108R,I9J1K-2L3M4-N5O6P-3F41C,C8BDC-C2AC6-DC39E,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_C8BDC-C2AC6-DC39E.png
5109,5109R,I9J1K-2L3M4-N5O6P-44C00,D5AC3-FCF9A-FB2BC,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_D5AC3-FCF9A-FB2BC.png
5110,5110R,I9J1K-2L3M4-N5O6P-4A3E4,2061C-06ADE-2CCDD,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_2061C-06ADE-2CCDD.png
5111,5111R,I9J1K-2L3M4-N5O6P-4FBC8,D3FB2-A376E-6CAFA,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_D3FB2-A376E-6CAFA.png
5112,5112R,I9J1K-2L3M4-N5O6P-553AC,F83FB-EEC9F-DC1FE,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_F83FB-EEC9F-DC1FE.png
5113,5113R,I9J1K-2L3M4-N5O6P-5AB90,6CC18-E8306-2EEAD,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_6CC18-E8306-2EEAD.png
5114,5114R,I9J1K-2L3M4-N5O6P-60374,7BD3B-7AB09-ED861,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_7BD3B-7AB09-ED861.png
5115,5115R,I9J1K-2L3M4-N5O6P-65B58,24DF7-56F5B-42BAA,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_24DF7-56F5B-42BAA.png
5116,5116R,I9J1K-2L3M4-N5O6P-6B33C,63E4B-D33BB-23A33,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_63E4B-D33BB-23A33.png
5117,5117R,I9J1K-2L3M4-N5O6P-70B20,ADD69-323DD-20EAF,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_ADD69-323DD-20EAF.png
5118,5118R,I9J1K-2L3M4-N5O6P-76304,FEE0E-92957-1CEED,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_FEE0E-92957-1CEED.png
5119,5119R,I9J1K-2L3M4-N5O6P-7BAE8,A1501-35FB1-1FE65,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_A1501-35FB1-1FE65.png
5120,5120R,I9J1K-2L3M4-N5O6P-812CC,DB70D-15EB1-02C1A,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_DB70D-15EB1-02C1A.png
5121,5121R,I9J1K-2L3M4-N5O6P-86AB0,6DDA8-EE7CD-DB57C,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_6DDA8-EE7CD-DB57C.png
5122,5122R,I9J1K-2L3M4-N5O6P-8C294,AEEC0-4D6CE-A9C5A,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_AEEC0-4D6CE-A9C5A.png
5123,5123R,I9J1K-2L3M4-N5O6P-91A78,6ED3D-ACC19-1DDCD,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_6ED3D-ACC19-1DDCD.png
5124,5124R,I9J1K-2L3M4-N5O6P-9725C,2FF96-CAD2E-D1EE5,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_2FF96-CAD2E-D1EE5.png
5125,5125R,I9J1K-2L3M4-N5O6P-9CA40,8EAC0-B2770-3A1F5,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_8EAC0-B2770-3A1F5.png
5126,5126R,I9J1K-2L3M4-N5O6P-A2224,ACCE8-39BA4-0EB61,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_ACCE8-39BA4-0EB61.png
5127,5127R,I9J1K-2L3M4-N5O6P-A7A08,33EC9-72CBF-A0B68,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_33EC9-72CBF-A0B68.png
5128,5128R,I9J1K-2L3M4-N5O6P-AD1EC,DBFE5-74D41-DBFDD,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_DBFE5-74D41-DBFDD.png
5129,5129R,I9J1K-2L3M4-N5O6P-B29D0,DF8E4-DF959-BEF2F,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_DF8E4-DF959-BEF2F.png
5130,5130R,I9J1K-2L3M4-N5O6P-B81B4,0CFEE-ECCCC-ACEBA,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_0CFEE-ECCCC-ACEBA.png
5131,5131R,I9J1K-2L3M4-N5O6P-BD998,C2CAD-3112A-B9FFA,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_C2CAD-3112A-B9FFA.png
5132,5132R,I9J1K-2L3M4-N5O6P-C317C,DDD22-178FD-3F512,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_DDD22-178FD-3F512.png
5133,5133R,I9J1K-2L3M4-N5O6P-C8960,10C5C-49B1B-50FAA,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_10C5C-49B1B-50FAA.png
5134,5134R,I9J1K-2L3M4-N5O6P-CE144,BE4AD-E6697-250BB,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_BE4AD-E6697-250BB.png
5135,5135R,I9J1K-2L3M4-N5O6P-33E88,BB31E-0FEE8-A32FE,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_BB31E-0FEE8-A32FE.png
5136,5136R,I9J1K-2L3M4-N5O6P-D3928,C373D-E6B0F-4B30E,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_C373D-E6B0F-4B30E.png
5137,5137R,I9J1K-2L3M4-N5O6P-D910C,D392F-DD69C-DBBE7,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_D392F-DD69C-DBBE7.png
5138,5138R,I9J1K-2L3M4-N5O6P-DE8F0,5BC4A-F5BF1-A8CC6,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_5BC4A-F5BF1-A8CC6.png
5139,5139R,I9J1K-2L3M4-N5O6P-E40D4,6349F-A91F8-F0B57,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_6349F-A91F8-F0B57.png
5140,5140R,I9J1K-2L3M4-N5O6P-E98B8,F7BE3-9CA0D-A87C1,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_F7BE3-9CA0D-A87C1.png
5141,5141R,I9J1K-2L3M4-N5O6P-EF09C,3AFBD-393BD-0DA05,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_3AFBD-393BD-0DA05.png
5142,5142R,I9J1K-2L3M4-N5O6P-F4880,EE462-E8605-F53FB,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_EE462-E8605-F53FB.png
5143,5143R,I9J1K-2L3M4-N5O6P-FA064,E2C90-AFC33-D8F89,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_E2C90-AFC33-D8F89.png
5144,5144R,I9J1K-2L3M4-N5O6P-FF848,FF6E0-2E51D-BFF89,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_FF6E0-2E51D-BFF89.png
5145,5145R,I9J1K-2L3M4-N5O6P-0502C,6AED0-472DA-DA1CE,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_6AED0-472DA-DA1CE.png
5146,5146R,I9J1K-2L3M4-N5O6P-0A810,D1DDE-90B5A-7ADC5,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_D1DDE-90B5A-7ADC5.png
5147,5147R,I9J1K-2L3M4-N5O6P-0FFF4,D2CDD-CCAC6-DF20B,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_D2CDD-CCAC6-DF20B.png
