ITEM No.,DV NUMBER,SERIAL NUMBER,IN-HOUSE SERIAL NUMBER,Unnamed: 4,Unnamed: 5,REMARKS
5108,5108R,I9J1K-2L3M4-N5O6P-3F41C,B4F12-77AAE-87C6E-DDA30,,,Good Condition
5109,5109R,I9J1K-2L3M4-N5O6P-44C00,FCFFC-BFCFD-3ECF0-62AF3,,,Good Condition
5110,5110R,I9J1K-2L3M4-N5O6P-4A3E4,CCB57-7E4B1-C82B7-ADEBF,,,Good Condition
5111,5111R,I9J1K-2L3M4-N5O6P-4FBC8,FECE0-B58EA-53C7D-1CA4C,,,Good Condition
5112,5112R,I9J1K-2L3M4-N5O6P-553AC,FE1E2-0BAA0-5D9FB-F711B,,,Good Condition
5113,5113R,I9J1K-2L3M4-N5O6P-5AB90,5E423-5B0AA-DBF2F-ADAA0,,,Good Condition
5114,5114R,I9J1K-2L3M4-N5O6P-60374,700B1-24AC8-6EFBB-DE7DA,,,Good Condition
5115,5115R,I9J1K-2L3M4-N5O6P-65B58,595AE-EBADA-0D8AD-896C1,,,Good Condition
5116,5116R,I9J1K-2L3M4-N5O6P-6B33C,5B5B2-0CACD-8FAE6-EFA6C,,,Good Condition
5117,5117R,I9J1K-2L3M4-N5O6P-70B20,25EED-2DF92-DA90E-C4910,,,Good Condition
5118,5118R,I9J1K-2L3M4-N5O6P-76304,A981F-400C9-BEEDD-604C3,,,Good Condition
5119,5119R,I9J1K-2L3M4-N5O6P-7BAE8,F3093-68EF3-38B5D-4EEBA,,,Good Condition
5120,5120R,I9J1K-2L3M4-N5O6P-812CC,F6F46-FEA7F-CAFD1-6E7CB,,,Good Condition
5121,5121R,I9J1K-2L3M4-N5O6P-86AB0,C9395-C4735-B81D8-ED9FF,,,Good Condition
5122,5122R,I9J1K-2L3M4-N5O6P-8C294,03B35-E9CDE-65BC3-A40EF,,,Good Condition
5123,5123R,I9J1K-2L3M4-N5O6P-91A78,409BC-3CC6A-637FB-51BAC,,,Good Condition
5124,5124R,I9J1K-2L3M4-N5O6P-9725C,BA7EA-46CDC-D127C-80CE5,,,Good Condition
5125,5125R,I9J1K-2L3M4-N5O6P-9CA40,0C37F-0AD64-FCA91-14CE8,,,Good Condition
5126,5126R,I9J1K-2L3M4-N5O6P-A2224,9A357-2E8CD-BFF73-EE533,,,Good Condition
5127,5127R,I9J1K-2L3M4-N5O6P-A7A08,58FAC-CAA2A-F9F2B-DBA7B,,,Good Condition
5128,5128R,I9J1K-2L3M4-N5O6P-AD1EC,E4502-FB896-FEB5B-CA0AB,,,Good Condition
5129,5129R,I9J1K-2L3M4-N5O6P-B29D0,2EDD6-E46E9-EBFBC-36D9E,,,Good Condition
5130,5130R,I9J1K-2L3M4-N5O6P-B81B4,F04EE-B905B-AF5AF-D0EB1,,,Good Condition
5131,5131R,I9J1K-2L3M4-N5O6P-BD998,0F5FA-ABE9D-ABFB1-47658,,,Good Condition
5132,5132R,I9J1K-2L3M4-N5O6P-C317C,BBF6B-EEF7D-283C6-B8293,,,Good Condition
5133,5133R,I9J1K-2L3M4-N5O6P-C8960,D2DCC-CCB84-8F11A-CDF8F,,,Good Condition
5134,5134R,I9J1K-2L3M4-N5O6P-CE144,E3F91-FC499-7A2EC-99CCE,,,Good Condition
5135,5135R,I9J1K-2L3M4-N5O6P-33E88,3ED6A-80946-8C2CE-E7300,,,Good Condition
5136,5136R,I9J1K-2L3M4-N5O6P-D3928,ADF9D-EEECA-D960F-B70A2,,,Good Condition
5137,5137R,I9J1K-2L3M4-N5O6P-D910C,C1E56-DCCF8-7D0FE-F7EEF,,,Good Condition
5138,5138R,I9J1K-2L3M4-N5O6P-DE8F0,F6AC0-8D1D6-2ED6C-E3318,,,Good Condition
5139,5139R,I9J1K-2L3M4-N5O6P-E40D4,5E774-4E918-D9CFC-E9AA7,,,Good Condition
5140,5140R,I9J1K-2L3M4-N5O6P-E98B8,CFD3B-F4AAA-ACACE-E92DE,,,Good Condition
5141,5141R,I9J1K-2L3M4-N5O6P-EF09C,99BFC-68BB7-70B25-C1C6D,,,Good Condition
5142,5142R,I9J1K-2L3M4-N5O6P-F4880,6516D-D57E4-039ED-FCEBB,,,Good Condition
5143,5143R,I9J1K-2L3M4-N5O6P-FA064,AE73B-EF967-3FBEA-B20BE,,,Good Condition
5144,5144R,I9J1K-2L3M4-N5O6P-FF848,CCC04-C6EE7-4B3F6-D1DA4,,,Good Condition
5145,5145R,I9J1K-2L3M4-N5O6P-0502C,0F8DC-F35EE-9D60D-0B067,,,Good Condition
5146,5146R,I9J1K-2L3M4-N5O6P-0A810,AF7CA-597B9-D0AD4-FA3C4,,,Good Condition
5147,5147R,I9J1K-2L3M4-N5O6P-0FFF4,80FFA-FA777-94EDB-83198,,,Good Condition
5148,5148R,I9J1K-2L3M4-N5O6P-157D8,F8C98-DD5FB-EF3F2-C753A,,,Good Condition
5149,5149R,I9J1K-2L3M4-N5O6P-1AFBC,66C4F-AE9B3-C656C-AFF94,,,Good Condition
5150,5150R,I9J1K-2L3M4-N5O6P-207A0,252A0-D46B5-3CB9B-CDE2A,,,Good Condition
5151,5151R,I9J1K-2L3M4-N5O6P-25F84,DFEEE-571BC-7F3D5-CACBF,,,Good Condition
5152,5152R,I9J1K-2L3M4-N5O6P-2B768,CFB47-0CE9A-85AB0-CDFBA,,,Good Condition
5153,5153R,I9J1K-2L3M4-N5O6P-30F4C,18A52-D5FC3-CF633-D8EA7,,,Good Condition
5154,5154R,I9J1K-2L3M4-N5O6P-36730,8ED05-D983D-5397F-D70DB,,,Good Condition
5155,5155R,I9J1K-2L3M4-N5O6P-3BF14,BBCCB-C5AFC-155C7-DDC2B,,,Good Condition
5156,5156R,I9J1K-2L3M4-N5O6P-416F8,BD7A0-C2F0C-2A0ED-7D3BF,,,Good Condition
5157,5157R,I9J1K-2L3M4-N5O6P-46EDC,B72C7-8C1D9-67ECE-E272A,,,Good Condition
5158,5158R,I9J1K-2L3M4-N5O6P-4C6C0,A9A93-CDC8E-567CF-E222C,,,Good Condition
5159,5159R,I9J1K-2L3M4-N5O6P-51EA4,BCCCA-825CE-6DB3F-F1FCB,,,Good Condition
5160,5160R,I9J1K-2L3M4-N5O6P-57688,2C38B-F1A32-6CDC2-ECCFA,,,Good Condition
5161,5161R,I9J1K-2L3M4-N5O6P-5CE6C,23E9F-39337-7ABFB-8DD0B,,,Good Condition
5162,5162R,I9J1K-2L3M4-N5O6P-62650,CF6F5-EEC1A-7DFDF-CD678,,,Good Condition
5163,5163R,I9J1K-2L3M4-N5O6P-67E34,10FED-90A4D-2BAE2-ABC26,,,Good Condition
5164,5164R,I9J1K-2L3M4-N5O6P-6D618,EEC1A-6FF0E-FADDB-0ACB7,,,Good Condition
5165,5165R,I9J1K-2L3M4-N5O6P-72DFC,30EFE-EE726-AF720-AD0A1,,,Good Condition
5166,5166R,I9J1K-2L3M4-N5O6P-785E0,9BF97-1CCBB-C8BE3-A8B29,,,Good Condition
5167,5167R,I9J1K-2L3M4-N5O6P-7DDC4,3B994-896D4-7B94F-CB9EF,,,Good Condition
5168,5168R,I9J1K-2L3M4-N5O6P-B35A8,1ACBC-BDEA0-BFB4C-F9DB7,,,Good Condition
5169,5169R,I9J1K-2L3M4-N5O6P-88D8C,5F77C-BDEDE-AC737-63DAD,,,Good Condition
5170,5170R,I9J1K-2L3M4-N5O6P-8E570,B55DF-1CDDB-E6FF8-20EEB,,,Good Condition
5171,5171R,I9J1K-2L3M4-N5O6P-93D54,8E5B7-3E44A-C8AEB-1CC57,,,Good Condition
5172,5172R,I9J1K-2L3M4-N5O6P-99538,CB3E6-35DFA-8B676-AFD1C,,,Good Condition
5173,5173R,I9J1K-2L3M4-N5O6P-9ED1C,0E0AF-ACCAF-40C55-6F3DD,,,Good Condition
5174,5174R,I9J1K-2L3M4-N5O6P-A4500,57AE9-FB6AF-1AF9E-FF979,,,Good Condition
5175,5175R,I9J1K-2L3M4-N5O6P-A9CE4,3ACFC-E9362-3265A-A5ADE,,,Good Condition
5176,5176R,I9J1K-2L3M4-N5O6P-AF4C8,187E0-0713C-CA5CE-550A1,,,Good Condition
5177,5177R,I9J1K-2L3M4-N5O6P- B4CAC,A81DF-C6B45-BCC1F-B8DAA,,,Good Condition
5178,5178R,I9J1K-2L3M4-N5O6P-BA490,36EB6-FEE9A-54D4D-D87E3,,,Good Condition
5179,5179R,I9J1K-2L3M4-N5O6P-BFC74,BEFCF-A54BD-56FE6-0EB2E,,,Good Condition
5180,5180R,I9J1K-2L3M4-N5O6P-C5458,E3183-AACEE-B1E79-AC4D2,,,Good Condition
5181,5181R,I9J1K-2L3M4-N5O6P-CAC3C,ACEF0-DACBD-575D2-ACFEE,,,Good Condition
5182,5182R,I9J1K-2L3M4-N5O6P-D0420,FF274-F8BDA-3D55E-88141,,,Good Condition
5183,5183R,I9J1K-2L3M4-N5O6P-D5C04,3EBC2-E08FA-D9FA2-88DF6,,,Good Condition
5184,5184R,I9J1K-2L3M4-N5O6P-DB3E8,EE56F-7ACD7-1150C-940BE,,,Good Condition
5185,5185R,I9J1K-2L3M4-N5O6P-E0BCC,1230E-F5F1B-72F3F-9C88E,,,Good Condition
5186,5186R,I9J1K-2L3M4-N5O6P-E63B0,8CB17-3ABA7-CFC95-B6DDB,,,Good Condition
5187,5187R,I9J1K-2L3M4-N5O6P-EBB94,F0C5E-24BC9-15FFB-ABF7B,,,Good Condition
5188,5188R,I9J1K-2L3M4-N5O6P-F1378,75AB9-2ABBE-49CB7-C031B,,,Good Condition
5189,5189R,I9J1K-2L3M4-N5O6P-F6B5C,E4EFF-ECE72-6AFEE-7DFAB,,,Good Condition
5190,5190R,I9J1K-2L3M4-N5O6P-FC340,7FC13-1CB56-0ECA2-23EBC,,,Good Condition
5191,5191R,I9J1K-2L3M4-N5O6P-01B24,D077D-D9ECC-8CBBB-0C75A,,,Good Condition
5192,5192R,I9J1K-2L3M4-N5O6P-07308,B18DE-FAED7-86E9D-42DF6,,,Good Condition
5193,5193R,I9J1K-2L3M4-N5O6P-0CAEC,302FF-BBA54-1AECD-3CAE9,,,Good Condition
5194,5194R,I9J1K-2L3M4-N5O6P-122D0,01211-F47C4-DF230-2D999,,,Good Condition
5195,5195R,I9J1K-2L3M4-N5O6P-17AB4,1E296-B8028-201DA-273DF,,,Good Condition
5196,5196R,I9J1K-2L3M4-N5O6P-1D298,4F0A8-E93A6-299EA-C3F5A,,,Good Condition
5197,5197R,I9J1K-2L3M4-N5O6P-22A7C,DBCC7-BBCB6-81F60-76FE0,,,Good Condition
5198,5198R,I9J1K-2L3M4-N5O6P-28260,01643-50D28-1CD5C-4914D,,,Good Condition
5199,5199R,I9J1K-2L3M4-N5O6P-2DA44,95AC3-3E546-CBABB-9F3EA,,,Good Condition
5200,5200R,I9J1K-2L3M4-N5O6P-33228,D4812-9490D-3CD3E-A639E,,,Good Condition
5201,5201R,Q7R8S-9T1U2-V3W4X-38A0C,FFC2C-4B528-75128-C10F8,,,Good Condition
5202,5202R,Q7R8S-9T1U2-V3W4X-3E1F0,FFF3A-DCDF7-FDFDC-0D7EA,,,Good Condition
5203,5203R,Q7R8S-9T1U2-V3W4X-439D4,D45BE-A7B74-FF7CC-639B6,,,Good Condition
5204,5204R,Q7R8S-9T1U2-V3W4X-491B8,FEF7A-F9D2D-E108B-548BF,,,Good Condition
5205,5205R,Q7R8S-9T1U2-V3W4X-4E99C,DBCDE-992B2-F17DC-42B5A,,,Good Condition
5206,5206,Q7R8S-9T1U2-V3W4X-54180,6C90F-EEDFB-DFAE0-ED415,,,Good Condition
5207,5207,Q7R8S-9T1U2-V3W4X-59964,FDB21-DC647-C772E-E8408,,,Good Condition
5208,5208,Q7R8S-9T1U2-V3W4X-5F148,AEACB-2CBED-3AA44-35CB0,,,Good Condition
5209,5209,Q7R8S-9T1U2-V3W4X-6492C,B2EE2-F99A3-1739E-C362A,,,Good Condition
5210,5210,Q7R8S-9T1U2-V3W4X-6A110,0EA9D-5C01B-E2195-3CAA3,,,Good Condition
5211,5211,Q7R8S-9T1U2-V3W4X-6F8F4,87CFB-5D05F-E912B-DA7EC,,,Good Condition
5212,5212,Q7R8S-9T1U2-V3W4X-750D8,6EDBB-EEB83-3A37E-45DAD,,,Good Condition
5213,5213,Q7R8S-9T1U2-V3W4X-7A8BC,4AB0A-8660A-B4FDF-FAF0B,,,Good Condition
5214,5214,Q7R8S-9T1U2-V3W4X-800A0,00FE0-CC0F3-A24CD-CB6DC,,,Good Condition
5215,5215,Q7R8S-9T1U2-V3W4X-85884,D740C-E7E6E-02B0C-CC4E7,,,Good Condition
5216,5216,Q7R8S-9T1U2-V3W4X-8B068,192FB-ED310-4CBCD-B6B73,,,Good Condition
5217,5217,Q7R8S-9T1U2-V3W4X-9084C,86EFD-A7DF8-ECE24-DF7B5,,,Good Condition
5218,5218,Q7R8S-9T1U2-V3W4X-96030,CDE62-3EA9C-AC45B-DBC4E,,,Good Condition
5219,5219,Q7R8S-9T1U2-V3W4X-9B814,EF292-50FC1-B7FA9-AAEBE,,,Good Condition
5220,5220,Q7R8S-9T1U2-V3W4X-A0FF8,F0F1B-1A16E-8BE6C-D9DB3,,,Good Condition
5221,5221,Q7R8S-9T1U2-V3W4X-A67DC,4F324-ADCAE-7DEBC-C4CC1,,,Good Condition
5222,5222,Q7R8S-9T1U2-V3W4X-ABFC0,FAA7D-5DBD9-EAA49-F11D8,,,Good Condition
5223,5223,Q7R8S-9T1U2-V3W4X-B17A4,AC316-FFEA6-E2A66-0663E,,,Good Condition
5224,5224,Q7R8S-9T1U2-V3W4X-B6F88,855A6-A8F50-AB397-BDFD8,,,Good Condition
5225,5225,Q7R8S-9T1U2-V3W4X-BC76C,EB0CD-F6A75-4AAEA-ECADE,,,Good Condition
5226,5226,Q7R8S-9T1U2-V3W4X-C1F50,AD5B5-33C0B-17EEB-38AE1,,,Good Condition
5227,5227,Q7R8S-9T1U2-V3W4X-C7734,09BDB-2AF26-DC21D-51816,,,Good Condition
5228,5228,Q7R8S-9T1U2-V3W4X-CCF18,1E62D-BE1FF-A62EA-1DB37,,,Good Condition
5229,5229,Q7R8S-9T1U2-V3W4X-D26FC,493AE-1AB9E-BAD25-4EA77,,,Good Condition
5230,5230,Q7R8S-9T1U2-V3W4X-D7EE0,1C79D-45C9E-F2FAE-AB3A7,,,Good Condition
5231,5231,Q7R8S-9T1U2-V3W4X-DD6C4,6C6C2-ABB8D-35EC7-29E82,,,Good Condition
5232,5232,Q7R8S-9T1U2-V3W4X-E2EA8,DEF5C-2EDAC-DA0CB-BEB9F,,,Good Condition
5233,5233,Q7R8S-9T1U2-V3W4X-E868C,B8071-C6BB3-15D2D-7F7C5,,,Good Condition
5234,5234,Q7R8S-9T1U2-V3W4X-EDE70,97F0E-B5DCC-2A252-060EC,,,Good Condition
5235,5235,Q7R8S-9T1U2-V3W4X-F3654,8DBFA-2FA5E-774F8-598DB,,,Good Condition
5236,5236,Q7R8S-9T1U2-V3W4X-F8E38,7DBDD-CFFA9-C7671-B3A4D,,,Good Condition
5237,5237,Q7R8S-9T1U2-V3W4X-FE61C,4A3EF-AC4E1-5AFBC-0EEAA,,,Good Condition
